AT,Y18,wastes from waste treatment,,,H13,residues from site clean up ,2.886,,DE,,R5
AT,Y18,wastes from waste treatment,A4060,,H13,oily grit-chamber sludge,1.174,,DE,,R5
AT,Y18,wastes from waste treatment,A4060,,H13,oily grit-chamber sludge,1.162,,DE,,R5
AT,Y18,wastes from waste treatment,A4060,,H13,sludge from oil-water separation,1.028,,DE,,R5
AT,Y18,wastes from waste treatment,A3120,,H13,residues from shredding,1.85,,DE,,R5
AT,Y18,wastes from waste treatment,A2030,,H13,contaminated aluminium oxide,207.0,,DE,,R5
AT,Y18,wastes from waste treatment,,,H13,c/p-sludges,3.138,,DE,,R5
AT,Y18,waste from waste treatment,,4.1,H4.1,premixed hazardous wastes,661.0,,DE,D10,
AT,Y18,oily wastes,,4.1,H4.1,wastes from garages,139.0,,DE,D10,
AT,Y18,wastes from waste treatment,,4.1,H4.1,premixed wastes,1.037,,DE,D10,
AT,Y18,wastes from waste treatment,,3.0,H6.1,solvent containing wastes,3.137,,DE,D10,
AT,Y18,wastes from waste treatment,,3.0,H6.1,premixed hazardous wastes,108.0,,DE,D10,
AT,Y18,wastes from waste treatment,,3.0,H6.1,premixed wastes,1.213,,DE,D10,
AT,Y18,wastes from waste treatment,A2030,4.2,H6.1,spent catalysts,20.0,,DE,,R13
AT,Y21,Cr(VI)-compounds,,,H11,furnace lining,25.0,,DE,,R5
AT,Y22,copper compounds,A1130,8.0,H12,etching solution,600.0,,DE,,R4
AT,Y22,copper compounds,,,H11,Ni-Cu-sludge,51.0,,DE,,R4
AT,Y22,copper compounds,,,H13,skimmings,336.0,,DE,,R4
AT,Y22,copper compounds,A1120,,H13,Cu-bearing sludge,216.0,,SL,,R4
AT,Y22,copper compounds,A1100,,H6.1,filter dusts,1.535,DE,BE,,R4
AT,Y23,zinc compounds,A1060,8.0,H8,pickling acid,919.0,,DE,,R4
AT,Y23,zinc compounds,A4100,,H12,sludge from gas cleaning,1620.0,,DE,,R4
AT,Y23,zinc compounds,A4100,,H13,steelwork dust,3049.0,,DE,,R4
AT,Y23,zinc compounds,A4100,,H13,steelwork dust,2198.0,DE,NO,,R4
AT,Y23,zinc compounds,A4100,,H13,filter dusts,132.0,,DE,,R4
AT,Y23,zinc compounds,A4100,,H13,filter dusts,86.0,,DE,,R4
AT,Y23,zinc compounds,A4100,,H13,steelwork dust,65724.0,,DE,,R4
AT,Y23,zinc compounds,A4100,,H13,filter dusts,290.0,DE,BE,,R4
AT,Y23,zinc compounds,A4100,,H13,filter dusts,146.0,,DE,,R4
AT,Y26,cadmium compounds,A1170,8.0,H11,NC-batteries,408.0,DE,FR,,R4
AT,Y29,mercury compounds,A1010,8.0,H11,amalgam waste,5.0,,DE,,R4
AT,Y29,mercury compounds,A4140,8.0,H11,chemicals,30.0,,DE,,R4
AT,Y29,mercury bearing wastes,A1030,,H12,fluorescent phosphor ,22.0,,DE,D12,
AT,Y29,mercury compounds,A1180,,H12,photocopy machines,17.0,,DE,,R4
AT,Y29,mercury compounds,A1180,,H13,fluorescent tubes,53.0,,DE,,R5
AT,Y31,lead compounds,A2010,,H11,lead glass sludge,167.0,,DE,D9,
AT,Y31,lead compounds,A1180,,H11,lead containming electronic devices,243.0,,DE,,R4
AT,Y31,lead compounds,A2010,,H11,lead-oxid containing sludge,625.0,,DE,,R4
AT,Y31,lead compounds,A1160,8.0,H11,lead acid batteries,840.0,,DE,,R4
AT,Y31,lead compounds,,,H11,lead containing sludge ,159.0,,DE,,R4
AT,Y33,cyanides,A4050,6.1,H11,hardening salts,20.0,,DE,D12,
AT,Y34,acidic solutions,A4090,8.0,H8,amidosulfuric acid,115.0,,DE,,R3
AT,Y34,acidic solutions,A4090,8.0,H8,metal bearing acid,1.0,,DE,,R4
AT,Y34,acidic solutions,A4090,8.0,H8,sulfuric acid,51.0,,DE,,R5
AT,Y35,basic solutions,A4090,8.0,H8,green liqour,2971.0,CZ,PL,,R3
AT,Y35,solid bases,A4100,8.0,H8,filter dusts,497.0,,DE,,R5
AT,Y35,basic solutions,A4090,8.0,H8,bleaching solution,15.755,,CH,,R5
AT,Y35,basic solutions,A4090,8.0,H8,bleaching solution,11.79,,CH,,R5
AT,Y39,phenoles,,,H13,impregnated wood/railway sleepers,6992.0,,DE,,R1
AT,Y39,phenoles,,,H11,impregnated wood/railway sleepers,9249.0,,DE,,R13
AT,Y39,phenoles,,,H11,impregnated wood/railway sleepers,8935.0,,DE,,R13
AT,Y41,halogenated solvents,A3150,6.1,H6.1,halogenated solvents,142.0,,DE,D10,
AT,Y42,solvents ,A3140,,H12,antifreeze,24.0,,DE,,R2
AT,Y42,solvents,A3140,3.0,H3,solvent-water mixtures,699.0,,DE,D10,
AT,Y42,solvents,B1140,3.0,H3,solvent contaminated residues,7.0,,DE,,R4
AT,Y42,solvents,B1140,4.1,H4.1,solvent contaminated residues,11.0,,DE,,R4
AT,Y45,organo-halogen compounds,A3150,2.0,H12,CFCs,14.0,,DE,,R3
AT,Y45,organo-halogen compounds,A3150,9.0,H12,CFCs,102.0,DE,FR,D10,
AT,Y45,organo-halogen compounds,A3150,9.0,H12,CFCs,39.0,,DE,D10,
AT,Y45,organo-halogen compounds,A3160,3.0,H3,destillation residues,212.0,,DE,,R5
AT,Y46,wastes from households,,,,municipal wastes,1.237,,CH,D10,
AT,Y46,wastes from households,,,,municipal wastes,20.708,,CH,D10,
AT,Y46,wastes from households,,,,municipal wastes,1.33,,DE,D10,
AT,Y46,wastes from households,,,,pre-treated wastes,9.739,,CH,D10,
AT,Y46,wastes from households,,,,pre-treated wastes,2.451,,CH,D10,
AT,Y46,wastes from households,,,,mixed plastic wastes,3580.0,,DE,,R1
AT,Y46,wastes from households,,,,residues from mechanical waste treatment,5916.0,,HU,,R1
AT,Y46,wastes from waste treatment,,,,refuse derived fuel,12327.0,,SK,,R1
AT,Y46,waste from health care,,,,residues from waste treatment,8582.0,,DE,,R12
AT,Y46,wastes from households,,,,bulky wastes,575.0,,DE,,R13
AT,Y46,wastes from households,,,,mixed plastic wastes,2329.0,,DE,,R3
AT,Y46,wastes from households,,,,municipial waste,6450.0,,DE,,R3
AT,Y46,wastes from households,,,,pre-sorted waste,4920.0,,DE,,R3
AT,Y46,wastes from households,,,,kitchen wastes,3170.0,,DE,,R3
AT,Y46,wastes from waste treatment,,,,residues from mechanical treatment,583.0,,DE,,R5
AT,Y46,wastes from households,,,,residues from mechanical treatment,4.876,,DE,,R5
AT,Y47,residues from waste incineration,A4100,,H11,residues from flue gas cleaning,1.637,,DE,,R5
AT,Y47,residues from waste incineration,A4100,,H13,residues from flue gas cleaning,306.0,,DE,D12,
